timestamp_s,download_kbps
1.856,809.353
3.497,815.623
5.048,807.255
6.694,814.313
8.485,803.648
9.801,814.111
11.486,812.159
14.092,1390.022
18.112,1756.155
23.060,1513.060
30.789,984.490
39.419,867.032
41.016,880.800
42.794,877.078
44.227,885.698
45.602,884.496
49.063,872.363
52.994,778.222
54.508,2416.060
57.436,2613.168
60.726,2223.451
65.462,1645.177
69.507,1949.700
75.019,1298.440
79.897,1506.039
85.687,1282.740
93.978,1058.473
102.723,714.690
110.832,975.481
114.110,1015.229
116.996,1042.847
118.355,1042.104
121.287,1042.153
124.333,1103.842
127.356,1101.134
130.400,987.923
133.500,870.977
137.155,870.454
144.169,1050.783
150.810,1133.986
153.327,1158.964
156.120,1148.633
162.261,1178.335
168.542,1254.714
171.587,1086.788
174.531,1090.115
175.422,1408.522
176.114,1613.915
177.491,1618.681
